# 1
1 0.000097 0.000230 0.008901 0.015635 0.015633 
# 2
2 0.000031 0.000169 0.017544 0.031277 0.031265 
# 4
4 0.000005 0.000155 0.034849 0.062551 0.062527 
# 8
8 0.000009 0.000180 0.069766 0.125086 0.125045 
# 16
16 0.000006 0.000154 0.139543 0.250151 0.250077 
# 32
32 0.000002 0.000181 0.279104 0.500299 0.500152 
# 64
64 0.000004 0.000197 0.543054 1.000119 1.000269 
# 128
128 0.000002 0.000094 0.547532 0.999866 0.999951 
# 256
256 0.000001 0.000040 0.550149 0.999801 0.999784 
# 512
512 0.000001 0.000018 0.543839 0.999391 1.000002 
# 1024
1024 0.000000 0.000007 0.542056 0.999972 1.000005 
# 2048
2048 0.000001 0.000004 0.529323 0.998696 1.000049 
# 4096
4096 0.000000 0.000004 0.530074 1.028813 1.032322 
# 8192
8192 0.000000 0.000000 0.000006 0.412748 1.018636 
# 16384
16384 0.000000 0.000000 0.000001 0.000008 0.498213 
# 32768
32768 0.000000 0.000000 -0.000000 0.000000 0.000011 
# 65536
65536 0.0 0.000000 0.000000 0.000000 0.000001 
# 131072
131072 0.0 0.0 0.000000 0.000000 0.000000 
# 262144
262144 0.0 0.0 0.0 0.000000 0.000000 
# 524288
524288 0.0 0.0 0.0 0.0 0.000000 
