# 1
1 0.000191 0.000101 0.001705 0.015656 
# 2
2 0.000083 0.000093 0.002886 0.031301 
# 4
4 0.000047 0.000099 0.004772 0.062637 
# 8
8 0.000075 0.000054 0.008515 0.125188 
# 16
16 0.000028 0.000098 0.019178 0.250353 
# 32
32 0.000022 0.000104 0.041254 0.500784 
# 64
64 0.000058 0.000096 0.030446 1.000020 
# 128
128 0.000015 0.000056 0.066593 0.999716 
# 256
256 0.000007 0.000017 0.000245 1.003911 
# 512
512 0.000011 0.000014 0.100387 1.007839 
# 1024
1024 0.000003 0.000017 0.000024 1.000003 
# 2048
2048 0.000003 0.000004 0.000013 1.084174 
# 4096
4096 0.000009 0.000007 0.000007 1.929688 
# 8192
8192 0.0 0.000006 0.000005 0.000006 
# 16384
16384 0.0 0.0 0.000004 0.000002 
# 32768
32768 0.0 0.0 0.0 0.000002 
